,level_0,index,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Deck,CabinNumber,CabinSide,id,id_number
28,25,25,0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,Mael Brantuarez,False,E,0,S,0020,05
29,26,26,0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,E,0,S,0020,06
30,8696,3,0021_01,Europa,False,C/1/S,TRAPPIST-1e,38.0,False,0.0,6652.0,0.0,181.0,585.0,Meratz Caltilter,,C,1,S,0021,01
31,27,27,0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,,False,D,0,P,0022,01
32,8697,4,0023_01,Earth,False,F/5/S,TRAPPIST-1e,20.0,False,10.0,0.0,635.0,0.0,0.0,Brence Harperez,,F,5,S,0023,01
33,28,28,0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,,0.0,0.0,Penton Fullided,True,C,2,S,0024,01
34,29,29,0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,F,6,S,0025,01
35,30,30,0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,C,0,P,0026,01
36,8698,5,0027_01,Earth,False,F/7/P,TRAPPIST-1e,31.0,False,0.0,1615.0,263.0,113.0,60.0,Karlen Ricks,,F,7,P,0027,01
37,31,31,0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,F,8,P,0028,01
38,8699,6,0029_01,Europa,True,B/2/P,55 Cancri e,21.0,False,0.0,,0.0,0.0,0.0,Aldah Ainserfle,,B,2,P,0029,01
39,32,32,0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,G,4,S,0030,01
40,33,33,0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,F,9,P,0031,01
41,34,34,0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,F,9,P,0031,02
42,35,35,0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,Dontch Datie,True,F,9,P,0031,03
43,8700,7,0032_01,Europa,True,D/0/S,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Acrabi Pringry,,D,0,S,0032,01
44,8701,8,0032_02,Europa,True,D/0/S,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,Dhena Pringry,,D,0,S,0032,02
45,8702,9,0033_01,Earth,False,F/7/S,55 Cancri e,24.0,False,0.0,639.0,0.0,0.0,0.0,Eliana Delazarson,,F,7,S,0033,01
46,36,36,0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,D,1,S,0034,01
47,37,37,0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,D,1,P,0035,01
48,38,38,0036_01,Earth,False,F/8/S,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,F,8,S,0036,01
49,8703,10,0037_01,Earth,False,F/9/S,TRAPPIST-1e,19.0,False,339.0,3.0,136.0,237.0,0.0,Vivia Rickson,,F,9,S,0037,01
50,39,39,0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,F,10,S,0038,01
51,40,40,0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,False,G,1,P,0039,01
52,8704,11,0040_01,Europa,False,D/2/P,TRAPPIST-1e,45.0,False,932.0,74.0,,7.0,1010.0,Antino Pinoffent,,D,2,P,0040,01
53,8705,12,0040_02,Europa,False,D/2/P,TRAPPIST-1e,44.0,False,0.0,1561.0,0.0,14.0,224.0,Jihda Pinoffent,,D,2,P,0040,02
54,41,41,0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,G,2,P,0041,01
55,8706,13,0042_01,Mars,True,E/0/P,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0,Hamus Frité,,E,0,P,0042,01
56,42,42,0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,B,3,P,0043,01
57,43,43,0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,G,3,P,0044,01
58,44,44,0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,G,3,P,0044,02
59,45,45,0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,G,3,P,0044,03
60,46,46,0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,F,10,P,0045,01
61,47,47,0045_02,Mars,True,F/10/P,,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,F,10,P,0045,02
62,8707,14,0046_01,Earth,False,G/4/P,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,1687.0,92.0,Neilda Powery,,G,4,P,0046,01
63,8708,15,0046_02,Earth,False,F/11/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,903.0,,Glene Powery,,F,11,P,0046,02
64,8709,16,0046_03,Earth,False,F/11/P,TRAPPIST-1e,20.0,False,2.0,12.0,253.0,457.0,690.0,Joanny Powery,,F,11,P,0046,03
65,8710,17,0047_01,Europa,True,B/0/S,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,Winonon Prucerod,,B,0,S,0047,01
66,8711,18,0047_02,Europa,False,,TRAPPIST-1e,29.0,False,0.0,7708.0,243.0,569.0,343.0,Muons Prucerod,,,,,0047,02
67,8712,19,0047_03,Europa,False,B/0/S,TRAPPIST-1e,40.0,False,26.0,1925.0,8.0,3144.0,63.0,,,B,0,S,0047,03
68,8713,20,0048_01,Earth,False,G/5/S,TRAPPIST-1e,30.0,False,0.0,878.0,26.0,3.0,0.0,Tyle Deckerry,,G,5,S,0048,01
69,8714,21,0049_01,Earth,False,E/1/P,TRAPPIST-1e,14.0,False,,0.0,0.0,1609.0,0.0,Doria Flynney,,E,1,P,0049,01
70,48,48,0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,Sony Lancis,False,E,1,S,0050,01
71,49,49,0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,E,2,S,0051,01
72,50,50,0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,G,6,S,0052,01
73,51,51,0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,F,11,S,0053,01
74,8715,22,0054_01,Europa,True,B/4/P,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Algedia Viouster,,B,4,P,0054,01
75,8716,23,0054_02,Europa,False,B/4/P,55 Cancri e,27.0,False,0.0,6977.0,0.0,4.0,1235.0,Alteron Viouster,,B,4,P,0054,02
76,8717,24,0054_03,Europa,False,B/4/P,55 Cancri e,66.0,False,39.0,6452.0,0.0,1409.0,155.0,Winon Viouster,,B,4,P,0054,03
77,8718,25,0055_01,Earth,False,G/5/P,TRAPPIST-1e,24.0,False,1784.0,8.0,18.0,18.0,0.0,Brence Frederry,,G,5,P,0055,01
78,52,52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,A,1,S,0056,01
79,53,53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,A,1,S,0056,02
80,54,54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,A,1,S,0056,03
81,8719,26,0057_01,Europa,False,C/1/P,55 Cancri e,19.0,False,293.0,3495.0,5273.0,118.0,422.0,Gatrin Windend,,C,1,P,0057,01
82,55,55,0058_01,Earth,True,G/7/S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,G,7,S,0058,01
83,8720,27,0059_01,Earth,True,E/2/P,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Janne Carvis,,E,2,P,0059,01
84,8721,28,0060_01,Earth,False,F/12/P,TRAPPIST-1e,21.0,False,0.0,619.0,12.0,3.0,0.0,Fanna Ashipeck,,F,12,P,0060,01
85,56,56,0061_01,Earth,False,F/12/S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,F,12,S,0061,01
86,57,57,0062_01,Earth,False,F/13/S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,F,13,S,0062,01
87,8722,29,0063_01,Earth,True,G/8/S,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,Elene Daughessey,,G,8,S,0063,01
88,58,58,0064_01,Mars,True,F/14/S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,,True,F,14,S,0064,01
89,59,59,0064_02,,True,E/3/S,TRAPPIST-1e,33.0,False,0.0,0.0,,0.0,0.0,Colatz Keen,True,E,3,S,0064,02
90,8723,30,0065_01,Earth,True,G/9/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Monald Rushorney,,G,9,S,0065,01
91,60,60,0066_01,Earth,False,G/6/P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,G,6,P,0066,01
92,61,61,0067_01,Earth,True,G/10/S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,G,10,S,0067,01
93,62,62,0067_02,Earth,False,G/10/S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,G,10,S,0067,02
94,63,63,0067_03,Earth,False,F/15/S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,F,15,S,0067,03
95,64,64,0068_01,Mars,False,E/4/S,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,E,4,S,0068,01
96,65,65,0069_01,Earth,False,F/16/S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,,True,F,16,S,0069,01
97,66,66,0070_01,Earth,False,F/13/P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,F,13,P,0070,01
98,67,67,0071_01,Earth,False,F/14/P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,F,14,P,0071,01
99,68,68,0072_01,Earth,False,F/17/S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,F,17,S,0072,01
100,69,69,0073_01,Mars,False,D/3/P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,D,3,P,0073,01
101,70,70,0074_01,Europa,False,C/3/S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,C,3,S,0074,01
102,8724,31,0075_01,Earth,False,G/11/S,TRAPPIST-1e,19.0,False,598.0,0.0,30.0,0.0,0.0,Shally Jimes,,G,11,S,0075,01
103,71,71,0076_01,Mars,False,F/18/S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,F,18,S,0076,01
104,72,72,0077_01,Mars,False,F/15/P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,F,15,P,0077,01
105,73,73,0078_01,Europa,False,C/4/S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,C,4,S,0078,01
106,8725,32,0079_01,Earth,True,G/12/S,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,Verney Sullones,,G,12,S,0079,01
107,8726,33,0080_01,Earth,False,G/7/P,TRAPPIST-1e,23.0,False,14.0,870.0,0.0,0.0,23.0,Wandy Llobsoney,,G,7,P,0080,01
108,74,74,0081_01,Earth,True,G/13/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,G,13,S,0081,01
109,75,75,0082_01,Mars,False,F/16/P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,F,16,P,0082,01
110,76,76,0082_02,Mars,True,F/16/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,F,16,P,0082,02
111,77,77,0082_03,Mars,False,F/16/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,,True,F,16,P,0082,03
112,8727,34,0083_01,Earth,False,G/8/P,TRAPPIST-1e,24.0,False,483.0,0.0,87.0,214.0,0.0,Lilasa Barris,,G,8,P,0083,01
113,78,78,0084_01,Earth,False,G/14/S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,G,14,S,0084,01
114,79,79,0085_01,Europa,True,C/5/S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,C,5,S,0085,01
115,80,80,0086_01,Earth,False,F/17/P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,F,17,P,0086,01
116,8728,35,0087_01,Earth,False,E/3/P,TRAPPIST-1e,19.0,False,0.0,20.0,135.0,265.0,367.0,Meremy Jarvey,,E,3,P,0087,01
117,81,81,0088_01,Mars,True,E/5/S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,E,5,S,0088,01
118,8729,36,0089_01,Mars,True,F/19/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Ors Cha,,F,19,S,0089,01
119,82,82,0090_01,Earth,True,G/15/S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,G,15,S,0090,01
120,83,83,0091_01,Earth,True,G/16/S,TRAPPIST-1e,26.0,False,,0.0,0.0,0.0,0.0,Deanne Yorkland,True,G,16,S,0091,01
121,84,84,0091_02,Earth,False,F/20/S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,F,20,S,0091,02
122,85,85,0092_01,Earth,False,G/9/P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,G,9,P,0092,01
123,86,86,0092_02,Earth,True,G/9/P,TRAPPIST-1e,0.0,False,0.0,0.0,,0.0,0.0,Stald Hewson,True,G,9,P,0092,02
124,87,87,0092_03,Earth,True,G/9/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,G,9,P,0092,03
125,8730,37,0093_01,Earth,False,G/10/P,TRAPPIST-1e,27.0,False,66.0,1736.0,0.0,0.0,15.0,Krisa Dukertyler,,G,10,P,0093,01
126,8731,38,0094_01,Earth,True,G/17/S,TRAPPIST-1e,6.0,False,,0.0,0.0,0.0,0.0,Jaye Santantines,,G,17,S,0094,01
127,8732,39,0094_02,Earth,False,F/21/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,866.0,0.0,Terta Santantines,,F,21,S,0094,02
128,8733,40,0095_01,Earth,False,F/18/P,PSO J318.5-22,23.0,False,0.0,0.0,1235.0,0.0,0.0,Toddie Benderez,,F,18,P,0095,01
129,8734,41,0096_01,Earth,False,F/22/S,PSO J318.5-22,30.0,False,1.0,0.0,1585.0,0.0,484.0,Leenny Swanardy,,F,22,S,0096,01
130,88,88,0097_01,Europa,False,A/2/S,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,A,2,S,0097,01
131,89,89,0098_01,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,G,11,P,0098,01
132,90,90,0098_02,Earth,False,G/11/P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,G,11,P,0098,02
133,91,91,0099_01,Earth,False,F/19/P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,F,19,P,0099,01
134,92,92,0099_02,Earth,,G/12/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,G,12,P,0099,02
135,8735,42,0100_01,Earth,False,G/13/P,TRAPPIST-1e,,,0.0,17.0,997.0,0.0,0.0,Dary Cochrisons,,G,13,P,0100,01
136,8736,43,0100_02,Earth,False,G/13/P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Cochrisons,,G,13,P,0100,02
137,93,93,0101_01,Mars,True,,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Book Trad,True,,,,0101,01
138,94,94,0102_01,Earth,False,F/23/S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,F,23,S,0102,01
139,95,95,0103_01,Earth,False,F/24/S,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,Arlen Mclainez,True,F,24,S,0103,01
140,96,96,0103_02,Earth,True,G/18/S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,G,18,S,0103,02
141,97,97,0103_03,Earth,True,G/18/S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,G,18,S,0103,03
142,8737,44,0104_01,Earth,False,F/25/S,TRAPPIST-1e,20.0,False,1.0,0.0,0.0,599.0,0.0,Alene Rochan,,F,25,S,0104,01
143,98,98,0105_01,Earth,,F/21/P,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False,F,21,P,0105,01
144,8738,45,0106_01,Earth,True,F/26/S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Therly Puckenton,,F,26,S,0106,01
145,99,99,0107_01,Mars,False,D/2/S,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,D,2,S,0107,01
146,100,100,0108_01,Earth,True,G/19/S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,G,19,S,0108,01
147,101,101,0108_02,Earth,False,G/19/S,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,,False,G,19,S,0108,02
148,102,102,0108_03,Earth,False,G/19/S,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,G,19,S,0108,03
149,8739,46,0109_01,Earth,False,F/22/P,TRAPPIST-1e,34.0,False,0.0,0.0,39.0,1.0,556.0,Tonald Wolferton,,F,22,P,0109,01
150,103,103,0110_01,Europa,False,,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,,,,0110,01
151,104,104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,B,5,P,0110,02
152,105,105,0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,B,5,P,0110,03
153,106,106,0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,B,5,P,0110,04
154,107,107,0111_01,Europa,True,E/6/S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,E,6,S,0111,01
155,108,108,0112_01,Europa,False,B/1/S,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,B,1,S,0112,01
156,109,109,0113_01,Earth,False,F/23/P,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,F,23,P,0113,01
157,110,110,0114_01,Earth,False,G/20/S,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,G,20,S,0114,01
158,111,111,0115_01,Mars,,F/24/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,,Rohs Pead,True,F,24,P,0115,01
159,112,112,0116_01,Europa,False,D/4/P,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,D,4,P,0116,01
160,8740,47,0117_01,Earth,False,E/4/P,PSO J318.5-22,24.0,False,0.0,22.0,82.0,0.0,686.0,Megany Ewiseston,,E,4,P,0117,01
161,8741,48,0118_01,Earth,False,G/14/P,TRAPPIST-1e,29.0,False,14.0,869.0,,1.0,0.0,Troyce Moodmandez,,G,14,P,0118,01
162,113,113,0119_01,,False,A/0/P,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,A,0,P,0119,01
163,114,114,0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,A,0,P,0119,02
164,115,115,0120_01,Mars,True,F/25/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,,Bees Sacre,True,F,25,P,0120,01
165,8742,49,0121_01,Earth,False,F/26/P,TRAPPIST-1e,20.0,False,1037.0,1.0,2.0,0.0,1576.0,Kendy Mayson,,F,26,P,0121,01
166,116,116,0122_01,Earth,False,G/21/S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False,G,21,S,0122,01
167,117,117,0123_01,Earth,False,F/27/P,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False,F,27,P,0123,01
168,8743,50,0124_01,Earth,True,G/15/P,55 Cancri e,5.0,False,0.0,0.0,0.0,0.0,0.0,Karay Camerrison,,G,15,P,0124,01
169,8744,51,0125_01,Europa,True,B/6/P,55 Cancri e,22.0,False,0.0,0.0,0.0,0.0,0.0,Saiphda Fulatorly,,B,6,P,0125,01
